                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1028,                0.71402,                 1.0501,                0.95518,                0.97059,                0.98093,                0.62201,                 1.1409,                0.73459,                 1.0421,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1138,                0.74724,                 1.0481,                0.96343,                0.95588,                0.98001,                0.71609,                0.98382,                0.69584,                 1.0246,               0.000911,               0.000911,               0.000911
                     57,                 1.1465,                0.73331,                 1.0443,                0.96293,                0.95492,                 0.9812,                0.68948,                 1.0598,                0.71505,                 1.0421,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1675,                0.73006,                 1.0848,                0.98101,                0.95221,                0.98212,                0.68114,                 1.0035,                0.65915,                 1.0228,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1645,                0.73392,                 1.0652,                0.96616,                 0.9446,                0.97944,                 0.6956,                0.98798,                 0.6965,                 1.0147,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0952,                0.71043,                 1.0339,                0.94498,                0.94713,                0.97685,                0.67975,                 1.0263,                0.67931,                 1.0202,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1193,                 0.7089,                 1.0807,                 0.9564,                0.97426,                0.98279,                0.68631,                 1.0224,                0.66693,                 1.0156,               0.000812,               0.000812,               0.000812
                     62,                 1.1437,                0.69928,                 1.0152,                0.97188,                0.96324,                0.98171,                0.61298,                 1.1842,                0.82189,                 1.0625,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1459,                0.72829,                 1.0338,                0.98352,                0.95956,                 0.9816,                0.68335,                 1.0305,                0.64129,                 1.0027,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0596,                0.66402,                 1.0285,                0.97751,                0.95885,                0.98303,                0.70565,                0.98152,                0.61067,                0.99357,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0077,                0.65377,                 1.0307,                0.95977,                0.96492,                0.98227,                0.75978,                0.85268,                0.60027,                0.98118,              0.0007328,              0.0007328,              0.0007328
                     66,                0.99393,                0.61933,                 1.0004,                0.96266,                0.97426,                0.98299,                0.73383,                0.90263,                0.60166,                0.97969,               0.000713,               0.000713,               0.000713
                     67,                 1.0695,                0.68016,                 1.0263,                0.97261,                0.96324,                0.98133,                0.71622,                0.94828,                0.61988,                 0.9812,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93374,                0.61535,                0.96877,                0.96353,                0.97125,                0.98218,                0.76482,                0.83599,                0.57882,                0.96452,              0.0006734,              0.0006734,              0.0006734
                     69,                0.95644,                0.62953,                 0.9997,                0.97391,                0.96083,                0.98233,                0.73731,                0.90736,                0.59139,                 0.9864,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0056,                 0.6476,                 1.0193,                0.97045,                0.96575,                0.98031,                0.69709,                0.97391,                0.62172,                0.99972,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0031,                 0.6403,                 0.9805,                 0.9692,                0.96324,                0.98292,                0.76504,                0.85149,                0.56277,                0.97199,               0.000614,               0.000614,               0.000614
                     72,                0.97104,                 0.6354,                0.98519,                0.97948,                0.96324,                0.98279,                0.74389,                0.88385,                0.56847,                0.97681,              0.0005942,              0.0005942,              0.0005942
                     73,                0.97807,                0.63095,                 0.9947,                0.96569,                0.97059,                0.98187,                0.71565,                0.90723,                0.60045,                0.98009,              0.0005744,              0.0005744,              0.0005744
                     74,                0.97086,                0.62783,                0.98033,                0.97768,                0.95956,                0.98261,                 0.7445,                0.86729,                 0.5879,                0.97397,              0.0005546,              0.0005546,              0.0005546
                     75,                0.94383,                0.60773,                 1.0053,                0.95606,                0.95221,                 0.9798,                0.73203,                0.91408,                0.61296,                0.97003,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.9421,                0.60347,                0.97338,                0.95276,                0.96387,                0.97865,                 0.7269,                0.93911,                0.60609,                0.97499,               0.000515,               0.000515,               0.000515
                     77,                 1.0123,                0.61444,                 1.0078,                0.97325,                0.95956,                0.98164,                0.73428,                0.91729,                0.61928,                0.97359,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.003,                0.63278,                 1.0072,                0.97048,                 0.9669,                0.98179,                0.69848,                 1.0098,                0.59812,                0.99223,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.042,                  0.601,                      1,                0.97773,                 0.9685,                 0.9821,                0.69462,                 0.9661,                0.58815,                0.97534,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0743,                0.62875,                 1.0044,                0.96808,                0.96691,                0.98027,                0.67973,                 1.0394,                0.62137,                0.99356,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0196,                 0.6309,                 1.0047,                0.98669,                0.95956,                0.98032,                0.73166,                0.91792,                0.56705,                0.97154,               0.000416,               0.000416,               0.000416
                     82,                0.94031,                0.59993,                0.97277,                0.98497,                0.96402,                0.98186,                 0.7081,                0.92838,                0.56864,                0.96727,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0201,                0.62896,                 1.0195,                0.98174,                0.96324,                0.98074,                0.75693,                0.85515,                 0.5696,                0.95185,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.9879,                0.63415,                0.99317,                0.97337,                0.96691,                0.98213,                0.74603,                0.86035,                0.56653,                0.95528,              0.0003566,              0.0003566,              0.0003566
                     85,                0.94168,                0.62255,                0.97145,                0.97489,                0.95956,                 0.9826,                0.76075,                 0.8589,                0.56526,                0.95067,              0.0003368,              0.0003368,              0.0003368
                     86,                0.99673,                 0.6134,                 1.0081,                0.97467,                0.97059,                0.98326,                0.76422,                0.81944,                0.53819,                0.94033,               0.000317,               0.000317,               0.000317
                     87,                0.89278,                0.57597,                0.96359,                0.98139,                0.96962,                 0.9826,                0.74555,                0.85482,                0.53618,                0.94473,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88894,                0.57813,                0.96553,                0.97029,                0.97059,                 0.9823,                0.77517,                0.79048,                0.54775,                0.93736,              0.0002774,              0.0002774,              0.0002774
                     89,                0.93154,                0.60707,                  0.972,                0.96335,                0.97794,                 0.9836,                 0.7484,                0.88031,                0.56443,                0.94886,              0.0002576,              0.0002576,              0.0002576
                     90,                0.90798,                 0.5748,                0.98619,                0.96723,                0.97674,                0.98403,                0.77725,                0.80905,                0.54266,                 0.9442,              0.0002378,              0.0002378,              0.0002378
                     91,                0.92763,                0.63162,                 1.0128,                0.97516,                0.97059,                0.98338,                0.75376,                0.81557,                  0.548,                0.94518,               0.000218,               0.000218,               0.000218
                     92,                0.91198,                0.59506,                 1.0008,                 0.9741,                0.96691,                0.98286,                0.74727,                 0.8215,                0.56192,                0.94135,              0.0001982,              0.0001982,              0.0001982
                     93,                0.87065,                0.59358,                0.98355,                0.97293,                0.97059,                0.98332,                0.77342,                0.78502,                0.53583,                 0.9337,              0.0001784,              0.0001784,              0.0001784
                     94,                0.83881,                0.55896,                0.99143,                0.97507,                0.95956,                0.98288,                 0.7798,                0.76368,                0.52935,                0.92847,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.8768,                0.58817,                0.98835,                0.98218,                0.95956,                0.98251,                0.77915,                0.75389,                0.51782,                 0.9257,              0.0001388,              0.0001388,              0.0001388
                     96,                0.87133,                0.56959,                0.99659,                0.98374,                0.96324,                0.98339,                0.77671,                0.77474,                0.51736,                0.92744,               0.000119,               0.000119,               0.000119
                     97,                0.83195,                0.54775,                0.96479,                0.97765,                0.96497,                0.98395,                0.77164,                0.77839,                0.51635,                0.92549,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.85091,                0.54871,                0.99549,                0.98495,                0.96214,                0.98389,                0.78425,                0.76724,                0.50501,                0.92355,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.81729,                0.54576,                0.97157,                0.97764,                0.96466,                0.98383,                 0.7853,                0.76562,                0.51154,                0.92379,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.83161,                 0.5342,                0.97627,                0.98089,                0.96691,                0.98376,                0.78562,                0.75287,                0.50715,                0.92307,               3.98e-05,               3.98e-05,               3.98e-05
